,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
52,20,4.47590228408054e-05,0.00214697,0.000325342,1.8731829329013e-08,0.002557523,5.27005805167382e-07,201.5234271,0,combination 4
63,21,2.2881637374386e-05,0.001586542,0.000442312,2.72943525298163e-09,0.002140093,0.062318314,198.2351436,0,combination 4
91,22,4.18458871381867e-05,0.00138228,0.000425991,1.88522156830521e-08,0.002272318,0.024999963,168.6597176,0,combination 4
102,23,0.000120541,0.001860034,0.000341484,2.57096602002596e-08,0.002352889,1.8312354211938e-08,187.2425067,0,combination 4
92,24,5.30262350608107e-06,0.001712821,0.000344108,2.19497297561607e-08,0.002490039,1.79906043889665e-08,194.7563833,0,combination 4
4,25,0.000129975,0.0017154,0.000354471,1.79648388270045e-08,0.002511363,6.35407293779042e-09,236.0720123,0,combination 4
93,26,0.000163016,0.001312436,0.000365346,6.5979264393619e-09,0.002007275,0.072525501,178.3683826,0,combination 4
94,27,2.90111647679049e-05,0.002058631,0.000318073,1.22000291170038e-08,0.002557412,0.010510936,241.7714743,0,combination 4
23,28,7.39057772398838e-06,0.001337581,0.000543033,1.7336153342133e-08,0.002432444,0.008818662,218.990595,0,combination 4
73,29,5.95101541002658e-05,0.001735548,0.000303881,9.82024226614096e-09,0.002347285,0.039519159,173.4432812,0,combination 4
32,30,4.89829196977573e-05,0.001189138,0.00055488,2.20783066078163e-08,0.002327641,0.011565371,199.744954,0,combination 4
95,31,5.67224426549671e-05,0.001083005,0.000534101,1.33516845975186e-08,0.002041454,0.049610092,171.2938205,0,combination 4
24,32,1.76278221654318e-05,0.001216486,0.000537189,1.37718079412455e-08,0.002164845,0.039564389,178.6502995,0,combination 4
64,33,4.56334149477383e-06,0.001548301,0.000324743,2.19257265786434e-08,0.002454902,1.21487576186054e-07,238.43016,0,combination 4
33,34,0.000100633,0.001484567,0.000388273,1.13258730706133e-08,0.002255856,0.040669816,178.6175358,0,combination 4
34,35,8.2125915482362e-05,0.001864773,0.000326927,7.75481667649667e-09,0.002361113,0.033519358,207.6230397,0,combination 4
74,36,6.24034263794621e-05,0.001710185,0.000345471,2.2596934763409e-09,0.002040977,0.079318477,173.5586338,0,combination 4
35,37,9.21502263419275e-05,0.001441652,0.000362745,1.17537200428416e-08,0.001970275,0.057680593,153.6969271,0,combination 4
25,38,6.15738397011578e-05,0.001644779,0.000356095,8.78257366186889e-11,0.002096958,0.084306133,181.0266537,0,combination 4
75,39,4.32093749205759e-06,0.001726123,0.000344882,2.69114939373162e-08,0.002217646,0.00788934,180.500485,0,combination 4
53,40,0.000127758,0.001456947,0.00039092,1.66886247217556e-08,0.002393132,0.014737823,199.2329045,0,combination 4
8,41,6.00651519486193e-05,0.001956219,0.00040304,4.10196325450874e-09,0.002885716,2.88420220363172e-08,293.7132388,0,combination 4
26,42,7.08469041511627e-05,0.001555646,0.000472732,8.15025789461882e-09,0.002157401,0.060888382,165.8851296,0,combination 4
41,43,4.27933579944484e-05,0.001668629,0.000407739,9.48489146771375e-11,0.002379271,0.046188137,227.6308812,0,combination 4
65,44,7.03238972275562e-06,0.001785792,0.000362612,7.11920010306182e-13,0.002253433,0.061489159,205.0299876,0,combination 4
103,45,4.78062995016885e-05,0.001737952,0.000343965,1.53053549495237e-08,0.002440122,1.77179293669787e-07,209.9247155,0,combination 4
42,46,7.18278883499104e-05,0.001596826,0.00034383,3.70452515087408e-09,0.002407138,0.025663053,230.649504,0,combination 4
54,47,2.51847528555974e-05,0.002043669,0.000324381,1.68477600758264e-13,0.002504597,0.037173555,257.9330142,0,combination 4
43,48,2.39097512961177e-05,0.001880585,0.000339391,2.13963253492883e-08,0.00238023,0.006515459,200.9974336,0,combination 4
