,index,A_start,beta_start,rho_start,A_hat,beta_hat,rho_hat,nloglik,code,set
24,76,7.29026616231716e-05,0.001671947,0.000497906,8.62909144948856e-08,0.004836928,0.063456071,142.4041273,0,combination 1
46,77,3.02484501314128e-05,0.002024323,0.000372328,1.20565963120488e-07,0.005068083,0.045759588,140.6015694,10,combination 1
36,78,2.59877794844675e-05,0.001467087,0.000518988,7.81681568574549e-08,0.004206352,0.080564871,137.4244178,0,combination 1
25,79,1.23599157696734e-05,0.001478161,0.000541092,9.22410512126774e-08,0.004333795,0.06318952,134.6880358,0,combination 1
914,80,0.000134055,0.002044986,0.000314989,1.3025892643514e-07,0.004984391,0.042765611,143.6575717,0,combination 1
18,81,6.25420990468646e-06,0.00291396,0.000331587,6.28247409165636e-08,0.004495709,0.078822314,136.2124459,0,combination 1
55,82,6.40103438789202e-05,0.001325595,0.000529772,1.24712503735331e-07,0.004671565,0.048671831,144.3976219,0,combination 1
26,83,9.84585324295109e-06,0.001303063,0.000589401,7.52820291378334e-08,0.004082483,0.085075948,144.8010883,0,combination 1
56,84,9.50471692829437e-08,0.0016893,0.00045783,8.73483328407789e-08,0.00469255,0.059188817,133.9746164,0,combination 1
47,85,5.37544195242004e-07,0.001462141,0.000468742,1.85117112072867e-07,0.005222481,0.029057733,154.8205533,0,combination 1
66,86,3.54584678540516e-05,0.002352973,0.000367195,8.5403951556575e-08,0.004200246,0.073476628,139.4235711,0,combination 1
27,87,3.36000718138391e-05,0.001726838,0.000492473,8.35644363602553e-08,0.004409494,0.069857147,138.4210007,0,combination 1
57,88,3.07235391594248e-05,0.002566492,0.000325698,1.84761470624698e-07,0.005957868,0.025145189,170.6353429,0,combination 1
19,89,3.32301350590152e-05,0.002323203,0.000394662,1.47907962623767e-07,0.005388077,0.033182639,151.7059674,0,combination 1
67,90,7.50914233455279e-05,0.001783127,0.000402242,6.74974312094872e-08,0.004246412,0.0762902,134.083429,0,combination 1
28,91,9.72947675965372e-07,0.001947948,0.000459285,1.59701649766655e-07,0.006070575,0.021567592,158.7371354,0,combination 1
68,92,2.85312267839554e-05,0.001732789,0.000491261,8.28004633382573e-08,0.004438528,0.068175641,136.3018838,0,combination 1
710,93,4.2219354312113e-05,0.002202588,0.000333187,1.69412769223243e-07,0.005897028,0.023033278,158.604995,0,combination 1
48,94,0.000235428,0.002341546,0.000305193,1.51615385725756e-07,0.005561096,0.029221495,143.9530638,0,combination 1
110,95,0.000136388,0.001673529,0.000370454,1.20599186463534e-07,0.004680909,0.049661028,139.0618306,0,combination 1
111,96,9.25644822324936e-05,0.001617593,0.000426675,1.52300857016571e-07,0.005303225,0.033010201,148.4142735,0,combination 1
69,97,0.000122825,0.002236785,0.000305532,6.51936134733742e-08,0.003968394,0.087085436,135.1134085,0,combination 1
37,98,9.53451123283987e-05,0.002199168,0.000352091,1.38103310443257e-07,0.005700826,0.034085257,155.2928486,0,combination 1
38,99,6.28685821712827e-05,0.002059988,0.000387671,1.59464066540576e-07,0.005520074,0.029094664,146.8403564,0,combination 1
58,100,1.9265788338564e-05,0.002317823,0.000305318,1.0323002561277e-07,0.004445969,0.06099816,141.0236113,0,combination 1
711,101,9.82192703969256e-05,0.001667234,0.000449795,1.97442087062649e-07,0.005652565,0.024468549,164.3475415,0,combination 1
49,102,4.36041223307584e-05,0.002331351,0.000402269,1.74432202811783e-07,0.005886908,0.018737526,144.4576625,0,combination 1
712,103,2.21517361830598e-05,0.001401949,0.000551271,6.2561665851889e-08,0.004147653,0.085920112,136.7474402,0,combination 1
610,104,3.2767553421407e-05,0.002850241,0.000313734,1.11992411757255e-07,0.005459467,0.045897944,145.4077069,0,combination 1
29,105,6.18500259092421e-05,0.001830495,0.000442637,4.38370683391631e-08,0.004395875,0.086763335,132.717098,0,combination 1
713,106,3.93095597158663e-05,0.002335055,0.000323276,5.97251035554195e-08,0.004178983,0.091571946,142.3376563,0,combination 1
39,107,1.79192686980901e-05,0.002075899,0.000365885,1.2088336112227e-07,0.005125119,0.044481628,144.9677444,0,combination 1
59,108,0.000100007,0.002376518,0.000320392,1.10813634752205e-07,0.005277105,0.051916729,148.798415,0,combination 1
811,109,4.5036957888609e-06,0.001614453,0.000490116,1.31572762120749e-07,0.005302674,0.039660782,150.2893043,0,combination 1
105,110,0.000214902,0.002109482,0.000301638,8.68271333031635e-08,0.004562372,0.06322542,135.5286204,0,combination 1
915,111,9.34246293187053e-06,0.002277091,0.000324412,1.45869886017669e-07,0.005331891,0.039830707,148.1347038,0,combination 1
106,112,3.67940777185417e-07,0.002205341,0.000347634,6.67497588637022e-08,0.0041256,0.084485125,138.7840916,0,combination 1
510,113,5.08545069270645e-05,0.002199911,0.000348407,4.47880082919546e-08,0.003912082,0.108361374,139.3495588,0,combination 1
310,114,4.65035230205971e-05,0.001572493,0.000589736,1.2424417182131e-07,0.005334556,0.041695865,146.6476633,0,combination 1
311,115,5.83527210127407e-05,0.001681979,0.000472507,6.55939209833629e-08,0.004327113,0.075870749,133.3955913,0,combination 1
410,116,0.000144226,0.001981114,0.000317708,9.5858775255074e-08,0.004581284,0.061767169,140.1930826,0,combination 1
312,117,0.000167497,0.002504685,0.000306881,1.93946534072375e-07,0.006270164,0.012051002,157.5713736,0,combination 1
611,118,1.82514877161455e-06,0.001946652,0.000384297,6.7241480748746e-08,0.004468897,0.075374251,135.803642,0,combination 1
916,119,5.60258710369612e-05,0.001542814,0.000541237,1.39941809382403e-07,0.005300936,0.034959132,143.0012456,0,combination 1
411,120,8.64557132708984e-05,0.002241547,0.000377164,6.13588770660889e-08,0.004523544,0.082111275,137.8601842,0,combination 1
511,121,0.000146825,0.001893047,0.000362339,1.64780433115714e-07,0.005583153,0.027145193,155.6709516,0,combination 1
412,122,5.17711957551084e-05,0.002484381,0.000394484,1.91969599659999e-07,0.006229621,0.01657384,161.7071686,0,combination 1
413,123,8.6703758959287e-05,0.001799216,0.000438706,1.51878562017614e-07,0.005625981,0.029637088,142.4602276,0,combination 1
812,124,4.218457592819e-05,0.002390965,0.000324953,5.3228059481411e-08,0.004625924,0.080603562,141.372331,0,combination 1
414,125,7.34696357884422e-05,0.001925868,0.000359899,8.22120171652894e-08,0.004580712,0.065355756,135.6921428,0,combination 1
512,126,4.48559357139592e-05,0.001757574,0.00049672,7.67413426259193e-08,0.00463403,0.066305907,134.7753713,0,combination 1
513,127,3.08709760801545e-05,0.001717273,0.000453686,9.01205736252689e-08,0.004514759,0.068132705,146.4258096,0,combination 1
612,128,3.94866860282352e-05,0.002388451,0.000312015,1.28522540266286e-07,0.004959835,0.044706225,149.2538149,0,combination 1
813,129,7.87581456734943e-05,0.002590984,0.000323278,1.47924737695869e-07,0.005898704,0.027536866,151.4922685,0,combination 1
107,130,0.000174127,0.002023127,0.000365499,1.53081391586824e-07,0.005631939,0.028304994,148.3561733,0,combination 1
210,131,4.03993976258717e-05,0.00150259,0.000466099,7.32956775666035e-08,0.004044442,0.082545227,138.0563388,0,combination 1
917,132,2.6993935901257e-05,0.002590345,0.000312127,1.48746116156e-07,0.005451593,0.035628194,140.8327544,0,combination 1
415,133,3.54532430444356e-05,0.002443933,0.000323138,5.86458439772552e-08,0.004506798,0.079138274,135.3577461,0,combination 1
918,134,5.89754423721339e-05,0.002323323,0.000316571,1.55282144657082e-07,0.005271472,0.033367579,153.4530854,0,combination 1
313,135,8.75362704222634e-05,0.002067277,0.000461064,2.29070924816679e-07,0.007194441,0.001293183,177.9873712,0,combination 1
416,136,7.30551354266781e-05,0.001514653,0.000436065,1.35489965302303e-07,0.004912002,0.042251697,145.1767229,0,combination 1
714,137,1.04556217865264e-05,0.001859719,0.000389466,6.17750340837144e-08,0.003795456,0.09203416,136.2921338,0,combination 1
417,138,1.78515472495707e-06,0.001958755,0.00043976,9.79683679879242e-08,0.005165151,0.04863918,134.314661,0,combination 1
814,139,4.08925917808942e-06,0.001831735,0.000458779,4.95422652090715e-08,0.0039447,0.099515769,133.1892564,0,combination 1
108,140,7.59393353852621e-05,0.001734197,0.000449464,1.76346835604224e-07,0.005726974,0.021604231,154.0476606,0,combination 1
715,141,1.34172844675813e-05,0.002309625,0.000332685,6.97164460398582e-08,0.004717679,0.064628366,132.3934364,0,combination 1
919,142,2.75621538875137e-06,0.002489168,0.000304074,5.56600524881236e-08,0.004353866,0.089723788,140.485741,0,combination 1
514,143,7.31997282216004e-05,0.002477888,0.000337523,8.16194415974715e-08,0.004556785,0.068506393,138.6396698,0,combination 1
815,144,3.59119832689685e-05,0.001974295,0.00034546,7.14726197224457e-08,0.004681513,0.059630545,130.4934618,0,combination 1
418,145,0.000135538,0.003008663,0.000320874,1.2410705043275e-07,0.005656549,0.036650098,141.0297578,0,combination 1
109,146,1.73725119128402e-05,0.002560763,0.000307361,5.57243638729113e-08,0.004460345,0.07992171,134.3461989,0,combination 1
1010,147,8.76587754384759e-05,0.001838091,0.000504082,1.24787731726656e-07,0.005494718,0.04004669,151.0909735,0,combination 1
419,148,5.4112734791132e-05,0.002424533,0.000324341,6.66740424468353e-08,0.004420365,0.073498425,132.6250451,0,combination 1
1011,149,0.000109785,0.001672734,0.000464858,8.74695308785891e-08,0.004500321,0.068153405,141.8517833,1,combination 1
1012,150,1.70187113657937e-05,0.001976823,0.00032958,6.13999393168696e-08,0.004207402,0.072846745,130.8149463,0,combination 1
420,151,5.92255397337733e-05,0.001720276,0.00042923,1.83209406253914e-07,0.005615142,0.024095213,156.6443057,0,combination 1
421,152,2.58324302340137e-05,0.001936459,0.000489878,1.63738274123551e-07,0.005644411,0.02703093,154.7946932,0,combination 1
1013,153,0.000133632,0.001854004,0.000383072,5.07595054810984e-08,0.004210333,0.087270681,133.2155933,0,combination 1
211,154,9.17110413186263e-05,0.002221622,0.000370593,1.30782835986687e-07,0.005499069,0.036685455,144.0066804,0,combination 1
314,155,7.42832836098681e-05,0.001465036,0.000564531,1.5189552876193e-07,0.005208688,0.034924786,150.264359,0,combination 1
816,156,2.0145983603804e-05,0.001959967,0.000366753,7.76473985101248e-08,0.004467391,0.071166331,137.5102295,0,combination 1
1014,157,1.80850850300043e-05,0.001461325,0.000485217,8.50705604211151e-08,0.004302592,0.0720681,140.8089583,10,combination 1
817,158,0.000187293,0.001608693,0.000373587,8.98339188510099e-08,0.004234624,0.068366243,137.0832349,0,combination 1
920,159,6.72873139804739e-05,0.001518122,0.000509374,9.80627669164239e-08,0.004575776,0.063728978,150.4745431,0,combination 1
1015,160,3.92359084712219e-05,0.002467771,0.000339337,8.09540487653954e-08,0.004788571,0.065319044,138.3394844,0,combination 1
212,161,9.07297362697621e-06,0.001570475,0.000529562,1.23245202026043e-07,0.005039749,0.045501819,144.7778398,0,combination 1
422,162,4.87594494626835e-05,0.002489063,0.000339199,9.75599427886478e-08,0.004684496,0.06049772,144.3637712,0,combination 1
213,163,5.81889234921407e-06,0.001801559,0.000532913,7.02664894201274e-08,0.005005821,0.058325899,131.8930741,0,combination 1
423,164,0.000167054,0.002528882,0.000310593,1.0140604813073e-07,0.004857916,0.056127815,146.266934,0,combination 1
921,165,2.82979807499242e-05,0.001399194,0.000585688,7.04300872094685e-08,0.004534975,0.071371143,133.0271555,0,combination 1
