,A_true,beta_true,gamma_true,omega_true,rho_true,A_start,beta_start,rho_start,index,A_hat,beta_hat,rho_hat,nloglik,code,mean_R0_true,mean_R0_hat,set
91,6.60291775890305e-08,0.002106175,0.001369863,0.000547945,0.288713191,5.59695345619239e-05,0.001675956,0.000371263,35,6.82767620718037e-08,0.002115356,0.260448325,148.8235449,0,1.620800834,1.5670888,combination 2
71,1.16654996580347e-07,0.001733951,0.001369863,0.000547945,0.281460795,3.09555866747939e-05,0.001624179,0.000379888,36,1.19572676561109e-07,0.00193451,0.203148353,132.5608987,0,1.395367242,1.376498155,combination 2
72,4.97903145793471e-08,0.001140035,0.001369863,0.000547945,0.600273578,0.000143748,0.001305157,0.000461641,37,3.94662937191287e-08,0.000966872,0.810729588,114.0464167,0,1.276262556,1.295465421,combination 2
83,5.22883887473556e-08,0.001834901,0.001369863,0.000547945,0.380898896,1.96167209224753e-05,0.001961877,0.000333961,38,3.40425108921038e-08,0.002193235,0.247105849,138.6553945,0,1.583260441,1.55223571,combination 2
108,6.54998228694905e-08,0.001589169,0.001369863,0.000547945,0.434108047,3.15261710864969e-05,0.001459508,0.000577346,39,3.13121985979111e-08,0.001216725,0.759570301,148.5151578,0,1.48936777,1.526647329,combination 2
65,1.02133084217373e-07,0.00154931,0.001369863,0.000547945,0.365241622,8.39931884325353e-05,0.001699083,0.000336238,40,1.00049648915039e-07,0.001554239,0.378487542,130.8733257,0,1.38884272,1.412917851,combination 2
92,1.86450576008551e-07,0.001524371,0.001369863,0.000547945,0.286892815,4.03450354913593e-05,0.001652445,0.000418928,41,2.30884088673536e-07,0.001631659,0.21923907,126.0338356,0,1.33675785,1.331201389,combination 2
93,1.47177766775624e-07,0.001186952,0.001369863,0.000547945,0.492672635,5.37698910994766e-05,0.001240675,0.000495219,42,2.02257499004077e-07,0.001400177,0.32339765,108.0109698,0,1.33964231,1.328909291,combination 2
73,8.24014783918567e-08,0.001833337,0.001369863,0.000547945,0.368746811,1.17323296551837e-05,0.001939296,0.000333569,43,8.6825100489549e-08,0.001855502,0.359889913,141.1579252,0,1.599001676,1.605169292,combination 2
109,1.38905957331821e-07,0.001966948,0.001369863,0.000547945,0.264124226,3.93010655890396e-05,0.002040101,0.000337025,44,1.02887568770188e-07,0.001943762,0.29211196,135.133462,0,1.552454438,1.553563168,combination 2
13,1.8730760699657e-07,0.001662494,0.001369863,0.000547945,0.225208965,5.88751190980508e-05,0.001357244,0.000412896,45,2.17425836194255e-07,0.001814511,0.150673775,114.7869378,0,1.316172843,1.287617692,combination 2
84,6.23121638775364e-08,0.001967971,0.001369863,0.000547945,0.325101344,9.5401080710748e-05,0.001931822,0.000317451,46,7.85984296664702e-08,0.001942649,0.339125998,141.9454406,0,1.590733479,1.621070711,combination 2
14,9.00727419265525e-09,0.001252659,0.001369863,0.000547945,0.598076806,0.000138945,0.001308961,0.000449228,47,5.80297255152248e-10,0.001163582,0.689929043,131.3244958,0,1.320063559,1.319712876,combination 2
43,2.03936884569334e-07,0.001577477,0.001369863,0.000547945,0.23969332,4.32077003646221e-05,0.001383283,0.000412815,48,2.34394623872075e-07,0.001692816,0.179553796,118.520454,0,1.305513732,1.292330103,combination 2
15,1.37029001835962e-07,0.001707624,0.001369863,0.000547945,0.249065962,0.000125506,0.001393928,0.000393795,49,1.25400437304739e-07,0.001384661,0.423829179,142.6475117,10,1.3376138,1.38061493,combination 2
85,8.80821304984029e-08,0.001697859,0.001369863,0.000547945,0.32355388,0.000105665,0.001199775,0.000580554,50,6.68070158330663e-08,0.001972236,0.222063219,135.5403134,0,1.413026948,1.384553783,combination 2
